State,Year,HLp,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerNPIS,PerReferOP,PerReDirDiag,PerOPS,PerNPOS,PerD,PerDHL,PerHL3,PerLTF,PerEI,PerEI6,NPIS,ReferOP,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,TotPas,TotNotPas,HL,NHL,HL3,LTF,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC
Wyoming,2011,2.4213075060532687,6.50726392251816,0.9079903147699758,0.7566585956416465,4.993946731234867,1.967312348668281,1.8159806295399517,99.29376408715251,NA,NA,NA,NA,NA,NA,76.74418604651163,48.484848484848484,81.25,13.953488372093023,81.25,75,NA,NA,NA,NA,NA,5,13,12,6655,6608,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,32,6565,43,16,16,13,6,13,0,12,0
US,2011,1.3699091169767226,17.511843332799337,5.615604255657135,2.832707118654107,9.063801201632153,0.8758479476268236,0.592334916931759,97.91616906018679,NA,NA,NA,NA,NA,NA,51.758121800095324,15.114068441064637,58.136792452830186,32.06746513737488,63.93474842767296,43.23899371069182,NA,NA,NA,NA,NA,10521,3253,2200,3793158,3714115,NA,NA,NA,NA,NA,NA,7842,NA,NA,NA,33663,3649074,65041,5088,28575,2958,20857,3117,136,2125,75
State average,2011,1.6051856185844877,23.476968847760066,7.478738584249708,3.8103592515763216,13.50677557559114,0.9837204304959231,0.6529742179029902,97.35679751963372,NA,NA,NA,NA,NA,NA,52.95398697789848,25.659508164300725,55.95087864091281,36.548773941231275,63.22816160310252,42.17060326208309,NA,NA,NA,NA,NA,214.12244897959184,66.34693877551021,44.857142857142854,77287.08163265306,75676.77551020408,NA,NA,NA,NA,NA,NA,165.7173913043478,NA,NA,NA,731.3913043478261,74355.1836734694,1321.591836734694,110.56521739130434,620.8260869565217,64.28260869565217,448.30434782608694,66.27659574468085,2.893617021276596,45.170212765957444,1.5957446808510638
State median,2011,1.5771288338091145,17.355604440579118,6.10612461625502,1.38217000691085,5.717393143920623,0.9523809523809523,0.6043756799226399,98.48151552958171,NA,NA,NA,NA,NA,NA,59.06616415410386,20.815018315018314,57.41758241758241,33.85565962137217,69.88901869158877,43.77394636015325,NA,NA,NA,NA,NA,68,49,30,53375,52749,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,463.5,50951,885,75,370,39,291,43,0,26,0
State SD,2011,0.6062830623855829,17.618310333487603,5.481029713832505,8.856331782846205,14.863225768759166,0.6330003756051842,0.46110501796639763,5.871956582610901,NA,NA,NA,NA,NA,NA,22.892148041472346,18.492287761990497,15.635730933343652,21.67248597907167,24.138983921290823,19.88714096388788,NA,NA,NA,NA,NA,535.7371336397582,111.42533954409565,83.44858696626724,91706.17089056692,90227.11920372234,NA,NA,NA,NA,NA,NA,631.7567275478215,NA,NA,NA,754.7211251923417,89491.27824907331,1175.3346849296329,140.0331154761319,703.3988691220121,95.15172983620033,625.2251459208813,113.18140539545155,7.090207706999819,84.847258967521,3.910184997670021
Alabama,2012,1.0697093956141914,3.9579247637725086,1.5332501337136744,0.8201105366375467,1.6223925833481903,0.6239971474416117,0.4278837582456766,98.49855123364651,NA,NA,NA,NA,NA,NA,40.99099099099099,65.93406593406593,50,38.73873873873874,58.333333333333336,40,NA,NA,NA,NA,NA,46,35,24,56945,56090,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,90,55868,222,60,30,30,86,35,0,24,0
Alaska,2012,2.074297567414671,14.991514237224214,6.788610220629833,3.3943051103149164,4.902885159343767,1.0371487837073354,0.7542900245144257,95.8431230797036,NA,NA,NA,NA,NA,NA,32.70440251572327,42.30769230769231,68.18181818181817,45.28301886792453,50,36.36363636363637,NA,NA,NA,NA,NA,36,11,8,11066,10606,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,51,10447,159,22,29,15,72,11,0,8,0
Arizona,2012,1.824414618557899,9.679855906106559,4.764394863749928,0.20916855499389925,4.717912962640172,0.7088489919237697,0.4764394863749927,98.82405631667795,NA,NA,NA,NA,NA,NA,48.739495798319325,38.669950738916256,59.87261146496815,49.21968787515006,38.853503184713375,26.11464968152866,NA,NA,NA,NA,NA,18,61,41,87079,86055,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,405,85222,833,157,248,94,410,60,1,40,1
Arkansas,2012,1.1226179450478517,20.852628329263844,6.9602312592966795,11.3384412449833,2.5820212736100587,0.3648508321405518,0.11226179450478517,95.41036283304325,NA,NA,NA,NA,NA,NA,12.382234185733513,43.47826086956522,35,33.37819650067295,32.5,10,NA,NA,NA,NA,NA,404,13,4,37345,35631,NA,NA,NA,NA,NA,NA,665,NA,NA,NA,91,34888,743,40,51,14,248,7,6,4,0
California,2012,1.9521445702493168,5.722159216497998,0.9006719921996847,0.7622659750497331,4.061287010698578,1.4832167210994809,1.1072481371996126,95.89333893275544,NA,NA,NA,NA,NA,NA,70.97472924187726,48.06714140386571,63.8095238095238,15.740072202166063,75.97883597883597,56.719576719576715,NA,NA,NA,NA,NA,369,718,536,504814,484083,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1965,481313,2770,945,1020,603,436,718,0,536,0
